,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
5080,"头部,头",松果体细胞瘤,"外科,肿瘤科,中医科",松果体细胞瘤是发生于松果体实质细胞的肿瘤，可见于任何年龄组，但大多发生于25～35岁年龄段，儿童多为松果体母细胞瘤。男女性别比例基本相等。,暂无数据,暂无数据
5081,全身,神经节苷脂沉积病(黑蒙性白痴，假性Hurler病，全身性神经节苷脂病，神经节苷脂沉积症),"内科,神经内科",神经节苷脂沉积病(gangliosidosis)为一组常染色体隐性遗传性疾病。神经节苷脂水解代谢中不同酶的缺乏引起不同物质在神经组织中的沉积而致病。,暂无数据,暂无数据
5082,"头部,颈部",上干型胸廓出口综合征(上干型胸廓出口综合症),"外科,骨外科,中医科",在解剖上，上干位于前、中斜角肌肌腹之间，无卡压的基础，而颈5、6神经根在出椎间孔处被交叉的前、中斜角肌腱性起始纤维包绕，才是卡压的基础，所以作者将上干型胸廓出口综合征称为颈5、6神经根卡压。以往一直认为上干型胸廓出口综合征很少见，仅占胸廓出口综合征的4%～10%，其实该病在临床上很常见。主要原因是误将这类胸廓出口综合征归纳到神经根型颈椎病中。两者的病变均是神经根受压，且受压部位仅相差数毫米至一两厘米，临床上确实很难鉴别。随着对颈肩痛的深入研究，人们发现颈5、6神经根卡压不仅可独立存在，还可合并有颈5、6以及颈5、6脊髓受压型颈椎病，也可合并下干型胸廓出口综合征。,暂无数据,暂无数据
5083,胸部,食管息肉(食管黏液纤维瘤，食管纤维血管瘤，食管纤维脂肪瘤，食管炎性假瘤，食管有蒂脂肪瘤),外科,食管息肉在食管良性肿瘤中居第2位，其发生率仅次于食管平滑肌瘤。由于食管息肉的瘤体由数量不等的纤维血管组织、脂肪组织以及来自食管黏膜和黏膜下组织的基质构成，表面覆盖有正常的食管黏膜，容易继发溃疡和出血，瘤体的纤维成分或为疏松纤维组织，或为致密胶原纤维组织，故又有称纤维血管瘤、纤维脂肪瘤、黏液纤维瘤、或有蒂脂肪瘤等名称。Bematz等认为将食管息肉命名为“纤维脂肪瘤”(fibrolipoma)较为合适。但临床仍习惯称之为食管息肉。,暂无数据,暂无数据
5084,"腰部,全身",实体肿瘤的肾脏损害,肿瘤科,引起肾脏损害的恶性肿瘤可分为两大类，包括肾脏本身的肿瘤及肾脏外肿瘤。临床主要表现为肾病综合征或肾炎综合征。肾损害可见于各种恶性肿瘤，最常见于肺癌、胃癌、乳腺癌和结肠癌。,暂无数据,暂无数据
5085,"头部,眼",视神经乳头水肿及视盘水肿,"五官科,眼科",视神经乳头水肿(papilloedema)一词严格限于由于颅内压力增高引起的视神经乳头的水肿情况，其他各种原因引起的视盘水肿情况均称为视盘水肿(optic;disc;edema)。,暂无数据,暂无数据
5086,全身,苏格兰脑炎(羊跳跃病),传染科,"苏格兰脑炎(Scotland;encephalitis)是由苏格兰脑炎病毒引起的,经蜱叮咬传播的人畜共患中枢神经系统感染的自然疫源性疾病。",暂无数据,暂无数据
5087,"腹部,腰部",输尿管异位开口,"内科,外科,泌尿外科",输尿管异位开口是指输尿管开口于正常位置以外的部位。男性多开口于后尿道、射精管、精囊等处，女性则可开口于前尿道、阴道、前庭及宫颈等处。约80%输尿管口异位见于双输尿管中的上输尿管。双肾双输尿管并输尿管口异位80%以上见于女性，单一输尿管口异位则较多见于男性。约10%输尿管口异位是双侧性。,暂无数据,暂无数据
5088,"四肢,胸部,背部",髓内肿瘤(髓内瘤),"外科,肿瘤科",脊髓髓内肿瘤在脊髓肿瘤中并不少见，髓内肿瘤基本上分为两大类：一类为原发性髓内肿瘤;另一类为继发性髓内肿瘤。后者较少，常为颅内肿瘤向椎管内播散性肿瘤，如髓母细胞瘤、生殖细胞瘤，更少见有星形细胞瘤、多形性胶质母细胞瘤或第四脑室室管膜瘤等。原发于脊髓的胶质瘤向颅内播散者非常罕见。,暂无数据,暂无数据
5089,上肢,手部伸肌腱损伤,"骨外科,小儿科",手指的伸展系统是肌腱与筋膜、腱膜、韧带的综合体，其作用与结构比屈肌腱系统远为复杂，解剖上称指背腱膜(dorsalaponeurosis)，又称伸腱装置(extensorapparatus)。只有熟悉它的解剖与了解每个结构的作用，才能在损伤时恰当地修复或重建其功能(图1)。,暂无数据,暂无数据
5090,全身,肾上腺髓质增生,"内科,内分泌科",肾上腺髓质增生也是一种自主性儿茶酚胺分泌过多的独立病症。国内有数10例肾上腺髓质增生的病例在肾上腺全切除后症状缓解。,暂无数据,暂无数据
5091,颈部,散发性甲状腺肿,"内科,内分泌科,肿瘤科",散发性甲状腺肿是单纯性甲状腺肿的一个类型，是以缺碘、致甲状腺肿物质或相关酶缺陷等原因所致的代偿性甲状腺肿大，不伴有明显的甲状腺功能亢进或减退，故又称非毒性甲状腺肿，其特点是散发于非地方性甲状腺肿流行区，且不伴有肿瘤和炎症，病程初期甲状腺多为弥漫性肿大，以后可发展为多结节性肿大。,暂无数据,暂无数据
5092,"腹部,腰部",输尿管瓣膜(输尿管襞，先天性输尿管瓣膜症),"内科,外科,泌尿外科",先天性输尿管瓣膜症是指有一横行黏膜皱褶突出于输尿管腔内，大多位于膀胱输尿管交界处3cm之内，临床分为环状瓣膜(单一或多发环状瓣膜)、叶瓣状瓣膜(单一或多发叶瓣状瓣膜)及混合型瓣膜(环状瓣膜合并叶瓣状瓣膜)3种，引起近端输尿管扩张。,暂无数据,暂无数据
5093,"皮肤,全身",松毛虫皮炎,皮肤病科,松毛虫皮炎(dendrolimus;dermatitis)是接触松毛虫体上的毒毛引起的急性皮炎，常伴有关节损害。此外尚可见有肿块、耳郭炎及眼炎。,暂无数据,暂无数据
5094,皮肤,水渍疮,皮肤病科,水渍疮是指因手脚溃水引致指(趾)间之湿疮。出《外科启玄》卷九。又名水渍疮。多因长时手脚浸泡水浆之作业，或久居水湿之地，湿邪外渍，加之局部磨擦致伤而成。常发于手丫或脚丫之夹缝间，或渐扩大。该病证之初起，见患部微肿胀，皮色白腐而皱，继则因磨擦而显糜烂，流水，自觉痒痛，或有继发感染者。多发于劳动群众，或为长期水中作业之职业病，该病应重视预防，以避免手脚长期接触水湿，保持局部干燥为重要，如防护器具之使用等。治宜先用甘草、苡仁适量煎汤外洗，保持局部通风清洁，或用密陀僧煅赤置地下去火性，研细末、外敷。重症宜停止水中作业。,暂无数据,暂无数据
5095,"皮肤,全身",嗜血流感杆菌的皮肤感染,"内科,中医科,皮肤病科",嗜血流感杆菌的皮肤感染是由嗜血流感杆菌引起的人类的外源性急性化脓性感染或内源性继发感染。,暂无数据,暂无数据
5096,腰部,实体肿瘤的肾损害(实体肿瘤的肾脏损害),肿瘤科,引起肾损害的恶性肿瘤可分为两大类，包括肾脏本身的肿瘤及肾脏外肿瘤。肿瘤致肾损害发生率,暂无数据,暂无数据
5097,口,锁喉痈,"五官科,口腔科", 锁喉痈是指发生在结喉正中处的急性化脓性疾病。其特点是来势暴急，肿势散漫，范围较大，其症状发生变化很快，可并发喉风、重舌等险证。相当于西医的口底部蜂窝组织炎。,暂无数据,暂无数据
5098,"颈部,胸部",食管念珠菌感染,外科,食管的真菌感染以念珠菌最常见，其中又以白色念珠菌感染最多见。其他少见的真菌感染有曲菌、组织胞质菌、隐球菌和芽生菌等。,暂无数据,暂无数据
5099,皮肤,砷及其化合物引起的皮肤病,皮肤病科,1.工业应用;熔炼和焙烧含砷矿石，经升华而得三氧化二砷(As2O3)，用于玻璃工业和杀虫、除锈、防腐。三氯化砷用于无线电工业及瓷器上光剂，制造含砷颜料，如醋酸亚砷酸铜(巴黎绿)等。含砷农药如砷酸钙[Ca3(AsO4)2]、亚砷酸钠(NaAsO2)及五氧化二砷(As2O5)等。还可用于生产砷剂药物，如914注射剂等。,暂无数据,暂无数据
5100,"腹部,盆腔",肾盏憩室,"内科,外科,泌尿外科",肾盏憩室是肾实质内覆盖移行上皮细胞的囊腔，经狭窄的通道与肾盂或肾盏相通，憩室无分泌功能，但尿液可反流入憩室内。该病首先由Rayer于1841年描述，可为多发性，位于肾的任何部位，但肾上盏更易受累及。,暂无数据,暂无数据
5101,"头部,眼",色素性静脉旁视网膜脉络膜萎缩(静脉旁色素性脉络膜视网膜变性),"五官科,眼科",色素性静脉旁视网膜脉络膜萎缩(pigmented;paravenous;retinochoroidal;atrophy)是一种罕见的眼底疾病。本病病因及发病机制不明。,暂无数据,暂无数据
5102,"头部,眼",霜样树枝状视网膜血管炎(树冰样视网膜血管炎，霜样树枝状视网膜静脉周围炎),"五官科,眼科",霜样树枝状视网膜血管炎(frosted;branch;angiitis)是一种视网膜血管周围炎，它是一种少见的葡萄膜炎类型。,暂无数据,暂无数据
5103,腰部,肾积脓(脓肾，脓性肾病，肾盂积脓),"外科,泌尿外科",肾积脓(pyonephrosis)又名脓肾，是一种极为严重的肾化脓性感染，肾组织广泛性破坏，致使全肾形成一脓囊，功能丧失。,暂无数据,暂无数据
5104,"头部,口",鳃裂囊肿和瘘管(鳃裂囊肿和瘘),"五官科,口腔科,中医科",鳃裂囊肿和瘘管(branchial;cyst;and;fistula)，76%～90%是由第2鳃裂和咽囊胚胎性残存组织演变而成，较少由第1或第3～5鳃裂和咽囊演变而来。临床表现为下颌角至胸骨上窝之间的胸锁乳突肌前缘处有缓慢增大的、不能推动的肿物和(或)瘘孔，瘘孔有透明的黏液溢出。感染时局部皮肤红、肿、压痛，并产生吞咽疼痛或吞咽困难等。若第1鳃裂囊肿和瘘管并发听力障碍和肾功能异常时，则考虑为Branchio-Oto-Renal综合征。临床手术切除是有效的治疗方法。,暂无数据,暂无数据
5105,"腹部,腰部",双重输尿管(双输尿管，重复肾输尿管，重复输尿管),"内科,外科,泌尿外科",重复肾及输尿管是指患侧肾脏是由两部分肾脏组织结合成一体，有一共同包膜，但肾盂输尿管及血管都各自分开的一种肾脏先天性畸形。发病率为2%～3%，女性多见。,暂无数据,暂无数据
5106,,深静脉血栓形成,"外科,小儿科",深静脉血栓形成是指血液在深静脉腔内不正常地凝结阻塞静脉管腔导致静脉回流障碍如未予及时治疗将造成程度不一的慢性深静脉功能不全影响生活和工作能力甚至致残—全身主干静脉均可发病尤其多见于下肢静脉壁损伤血流缓慢和血液高凝状态是造成深静脉血栓形成的三大因素静脉壁损伤时内膜下层及胶原裸露可激活血小板释放多种具有生物学活性的物质启动内源性凝血系统同时静脉壁电荷改变导致血小板聚集粘附形成血栓造成血流缓慢的外因有：久病卧床术中术后以及肢体固定等制动状态及久坐不动等此时因静脉血流缓慢在瓣窦内形成涡流不仅激活内源性凝血系统并使血小板从在血流中轴流动(轴流)移向接近内膜(边流)促成血栓形成血液高凝状态见于：妊娠产后或术后创伤长期服用避孕药肿瘤组织裂解产物等使血小板数增高凝血因子含量增加而抗凝血因子活性降低导致血管内异常凝结形成血栓典型的血栓包括：头部为白血栓颈部为混合血栓尾部为红血栓血栓形成后可向主干静脉的近端和远端滋长蔓延其后在纤维蛋白溶解酶的作用下血栓可溶解消散有时崩解断裂的血栓可成为栓子随血流进入肺动脉引起肺栓塞但血栓形成后常激发静脉壁和静脉周围组织的炎症反应使血栓与静脉壁粘连并逐渐纤维机化最终形成边缘毛糙管径粗细不一的再通静脉同时静脉瓣膜被破坏以至造成下肢静脉血液逆流,暂无数据,暂无数据
5107,"头部,眼",色素性青光眼,"五官科,眼科",因眼前节段色素播散引起的继发性开角型青光眼称色素性青光眼(pigmentary;glaucoma)。,暂无数据,暂无数据
5108,盆腔,嗜酸性粒细胞性膀胱炎(嗜酸细胞性膀胱炎),"外科,泌尿外科",嗜酸性粒细胞性膀胱炎(eosinophiliccystitis)是膀胱局部嗜酸性粒细胞发生变态反应引起的疾病。病因不清，多数认为与细菌、药物、异体蛋白及食物过敏原有关。,暂无数据,暂无数据
5109,全身,嗜酸性粒细胞白血病(嗜酸细胞性白血病),"内科,肿瘤科",嗜酸粒细胞白血病(eosinophilicleukemia，EL)是一种罕见的白血病，以外周血及骨髓异常嗜酸性粒细胞增多为特征，常累及心脏、肺及神经系统，并呈进行性贫血和血小板减少。,暂无数据,暂无数据
5110,"头部,眼",双眼上斜肌麻痹,"五官科,眼科",双眼上斜肌麻痹(bilateral;superior;oblique;paralysis)是指双眼的上斜肌因先天发育异常或后天因素所致的功能障碍。,暂无数据,暂无数据
5111,颈部,食道炎,"内科,消化内科",食道炎(esophagitis)是指食道黏膜浅层或深层组织由于受到不正常的刺激，食道粘膜发生水肿和充血而引发的炎症。这些刺激有胃酸、十二指肠反呕上来的胆汁、烈酒、辣椒、太热的菜汤、过于浓热的茶，等等。可分为原发性与继发性食道炎。食道发炎的原因有许多；像是严重呕吐后，长期放置鼻胃管或服用阿斯匹宁、强酸强碱、非类固醇类消炎药或接受化学治疗、放射治疗之患者或是病患本身抵抗力下降而受结核菌或念珠菌或病毒感染导致食道炎。,暂无数据,暂无数据
5112,"头部,眼",视网膜血管炎(视网膜脉管炎),"五官科,眼科",视网膜血管炎(retinal;vasculitis)是一大类累及视网膜血管的炎症性疾病。典型地表现为眼底灰白色血管鞘、渗出、出血、视网膜水肿等改变，是一类严重威胁视力的眼病。,暂无数据,暂无数据
5113,"头部,眼",视网膜毛细血管血管瘤(视网膜焰色痣),"五官科,眼科",视网膜血管瘤往往为全身血管瘤病的一部分，常伴有小脑、延脑、脊髓、肾上腺、肾、肝、附睾及卵巢等部位的血管瘤、囊肿或肿瘤，其中以小脑的血管母细胞瘤最常见。,暂无数据,暂无数据
5114,,湿热病,,湿热病症指：“湿热证，始恶寒，后但热不寒，汗出，胸痞，舌白，口渴不引饮。”即是说刚开始时感到寒冷，过一段时间后又感热出汗，胸口不舒服，舌头发白，饮水后还感到口渴。,暂无数据,暂无数据
5115,"头部,眼",上巩膜静脉压升高所致青光眼(上巩膜静脉压升高所致的青光眼，上巩膜静脉压升高引起的青光眼),"五官科,眼科",维持正常的房水动力学平衡和眼压的高低主要取决于房水循环中的3个因素，即睫状体生成房水的速率、房水通过小梁网流出的速率和上巩膜静脉压，正常眼压水平的维持有赖于三者处于动态平衡状态。由于上巩膜静脉压升高所致的青光眼临床上并不少见，但病因复杂，治疗效果也较差。,暂无数据,暂无数据
5116,皮肤,水疥,皮肤病科,水疥是指诸疥中之轻轻者。出《诸病源候论》卷三十五。该书分疥为大疥、马疥、水疥、干疥、湿疥。巢氏谓：“水疥者，如小瘭浆，摘破有水出，此一种小轻。”类似丘疹性荨麻疹，或为湿疥之轻微者。,暂无数据,暂无数据
5117,胸部,室间隔膜部瘤,肿瘤科,室间隔膜部瘤有真性(先天性)和假性(后天性)两类。真性膜部瘤或称膜部膨出症，是心脏膜部间隔向右侧心腔囊袋状突起的—种先天性畸形。假性膜部瘤又称三尖瓣瘤、三尖瓣膨出症，是室间隔膜部缺损自然转归的一种现象。,暂无数据,暂无数据
5118,颈部,上颈椎不稳症,"外科,骨外科,中医科,急诊科",颈椎本身从出生后即包含着许多不稳定性因素，尤其是椎间关节的水平位、韧带的松弛及脊髓与椎管的比例等均构成其不稳定的解剖学基础。颈椎椎节不稳既是颈椎病病理生理改变中的一个过程，在持续时间过久时又可以是一个独立性疾患。上颈椎不稳症主要包括枕颈不稳及寰枢关节不稳两类，前者以外伤及枕颈部畸形为多见，病情亦较为严重。而后者除与颈部外伤相关外，在儿童则多发生于咽喉后壁处炎症之后，此乃由于寰枢关节局部韧带松弛之故，在治疗上，对早期病例较前者相对为易，预后亦多较好，但晚期病例，或是因外伤或先天畸形所致者，病情多较复杂，预后差别亦较大。,暂无数据,暂无数据
5119,颈部,失荣,肿瘤科,失荣是发生于颈部、耳后的岩肿。与现代医学称的颈部淋巴转移癌或恶性淋巴瘤类似。,暂无数据,暂无数据
5120,胸部,神经鞘源性肿瘤,"外科,肿瘤科",神经源性肿瘤是成人和儿童最常见的纵隔肿瘤，肿瘤分为良性肿瘤如神经鞘瘤、黑色素沉着施万瘤、颗粒细胞瘤及神经纤维瘤，其中恶性肿瘤有恶性施万细胞瘤和神经源性肉瘤。,暂无数据,暂无数据
5121,颈部,枢椎齿突骨折,"骨外科,急诊科",枢椎齿突骨折(odontoidprocessfracture)是累及寰枢椎区域稳定性的严重损伤，发生率约占颈椎损伤的10%。由于具有特殊的解剖学结构，其不愈合发生率也较高，不稳定性因素的存在，可能导致急性延迟性颈椎脊髓压迫并危及生命。,暂无数据,暂无数据
5122,腹部,十二指肠重复畸形(十二指肠内囊肿),外科,十二指肠重复畸形(duplicationoftheduodenum)，亦称十二指肠内囊肿，为突出于肠壁外的球形囊腔。多数黏附于十二指肠后侧或内侧。是临床少内见的十二指肠先天性发育畸形。,暂无数据,暂无数据
5123,胸部,室内传导阻滞(室内阻滞),"内科,心血管内科",室内传导阻滞是指希斯束分叉以下部位的传导阻滞。室内传导系统由三个部分组成：右束支、左前分支和左后分支，室内传导系统的病变可波及单支、双支或三支。右束支传导阻滞较为常见。永久性病变常发生于风湿性心脏病、高血压性心脏病、冠心病、心肌病与先天性心脏病。此外，正常人亦可发生右束支传导阻滞。左束支传导阻滞常发生于充血性心力衰竭、急性心肌梗塞、急性感染、奎尼丁与普鲁卡因胺中毒、高血压病、风湿性心脏病、冠心病与梅毒性心脏病。左前分支阻滞较为常见，左后分支阻滞则较为少见。单支、双支阻滞通常无临床症状。间可听到第二心音分裂。完全性三分支阻滞的临床表现与完全性房室传导阻滞相同。慢性束支传导阻滞的患者如无症状，无需接受治疗。急性前壁心肌梗塞发生双分支、三公支阻滞，或慢性双分支、三分支阻滞，伴有Adams-Stokes综合征发作者，则应及早考虑心脏起搏器治疗。,暂无数据,暂无数据
5124,腹部,肾功能不全,内科,肾功能不全(renalinsufficiency)是由多种原因引起的，肾小球严重破坏，使身体在排泄代谢废物和调节水电解质、酸碱平衡等方面出现紊乱的临床综合症后群。分为急性肾功能不全和慢性肾功能不全。预后严重，是威胁生命的主要病症之一。,暂无数据,暂无数据
5125,全身,神思间病,"内科,神经内科",神思间病泛指精神、神经活动(特别是思维意识活动)失常一类病证。,暂无数据,暂无数据
5126,腹部,十二指肠平滑肌肉瘤,"外科,肿瘤科",十二指肠平滑肌肉瘤是起源于十二指肠黏膜肌层或固有肌层，或肠壁血管壁的肌层肿瘤，根据其组织学特征，分为平滑肌瘤(leiomyoma)、平滑肌肉瘤(leiomyosarcoma)和上皮样平滑肌瘤(平滑肌母细胞肌瘤leiomyoblastoma)，后者罕见。而平滑肌瘤和平滑肌肉瘤表现无明显差异，大体观难以区别其性质，故临床上常一并讨论。,暂无数据,暂无数据
5127,,双眼皮修复,"外科,小儿科", ,暂无数据,暂无数据
5128,胸部,手术后膈疝,外科,手术后膈疝(postoperativediaphragmatichernia)是指途经膈肌的手术，因术中对其修补不严密或术后裂开，腹腔内脏器(胃肠)突入胸腔并发的内疝。多发生于食管癌或贲门癌切除术后，贲门失弛缓症、食管裂孔疝或膈疝手术后比较少见。,暂无数据,暂无数据
5129,全身,暑湿,"内科,内分泌科",暑湿是感受暑湿邪所致的急性外感热病。多发生于夏令季节，暑湿俱盛之时，尤以南方为多见。其以发病较急，初起见有身热、头身重病、微汗、口渴、脘痞等暑湿郁遏肌表证候为主要特点。根据好发季节及临床证候特点，西医的钩端螺旋体病、肠伤寒、流行性感冒等。,暂无数据,暂无数据
5130,"头部,眼",嗜人T淋巴细胞Ⅰ型所致的葡萄膜炎(嗜人T淋巴细胞Ⅰ型所致的色素层炎),"五官科,眼科",嗜人T淋巴细胞病毒(human;T-lymphotropic;virus，HTLV)是一种反转录病毒，目前发现有3型，即HTLV-Ⅰ、HTLV-Ⅱ和HTLV-Ⅲ。,暂无数据,暂无数据
5131,腹部,湿热痢,传染科,湿热痢是痢疾证候类型之一。若湿热毒邪盛;于血分，伤及肠络，下痢纯血者，叫“赤痢”、“血痢”。若病邪伤及气血，肠中气滞，肠络损伤，下痢赤白相兼，脓血相杂，腹中绞痛，排便次数频多，叫“赤白痢”。,暂无数据,暂无数据
5132,"头部,眼",少年儿童葡萄膜炎(少年儿童色素层炎),"五官科,眼科",少年儿童葡萄膜炎一般指发生于16岁以下人群的葡萄膜炎。由于少年儿童葡萄膜炎在临床表现、病因和类型、诊断和治疗等方面与成人葡萄膜炎均有所不同，对其进行讨论将有益于临床诊断和治疗。,暂无数据,暂无数据
5133,全身,神经系统遗传病,"内科,神经内科",神经系统遗传性疾病是由于生殖细胞或受精卵遗传物质的数量、结构或功能改变，使发育的个体出现以神经系统功能缺损为主要临床表现的疾病。它与胎儿在母体内受到风疹病毒感染引起的先天性心脏病不同，也与由某种相同的环境因子引起的家族性疾病如家族性甲状腺功能减退症不同，后者均为非遗传性。,暂无数据,暂无数据
5134,"腹部,腰部",肾盏积水,"内科,外科,泌尿外科",较少见，肾盏内附移行上皮并呈囊性扩张。其发生也有先天性与获得性之分。与憩室的炎性梗阻机制不同，肾盏积水多无明显的原因，推测可能由于漏斗入口处环形肌失弛缓从而形成一功能性的梗阻。最常见的症状是上腹及侧腰部疼痛，偶尔可触及一肿块，有时可引起血尿。肾盏积水应当与继发于输尿管梗阻、肾盂肾炎、髓质坏死、肾结核等所致的多肾盏扩张相鉴别。继发于出口梗阻的肾盏积水可行肾盏漏斗处切开术，从而改善引流。若是由于内在结石所致的扩张，只要视情况行肾部分切除。目前经皮途径的手术处理多能达到满意的效果。,暂无数据,暂无数据
5135,头,失认症(认识不能，失认),"内科,神经内科",认知是人脑具有的一种高级神经心理活动(是通过感官感觉到事物的存在，并进行认识)。认知某一事物就是能在众多事物中将该事物辨认出来，也就是将目前的知觉体验与过去的全部经验相对照的结果。对事物的认识是通过多种感觉的会聚加工而成，以视觉-体感的多种感觉会聚为主，并同样有听觉甚至嗅觉的参与。,暂无数据,暂无数据
5136,"颈部,胸部",食管其他恶性肿瘤,外科,食管恶性肿瘤中最多见的是鳞状上皮细胞癌即食管癌，约占全部的95%以上，其他恶性肿瘤不足5%，临床罕见的且种类繁多，一般包括上皮源性肿瘤、间质源性肿瘤、淋巴源性肿瘤和转移瘤等4类。,暂无数据,暂无数据
5137,腹部,十二指肠内瘘,"外科,急诊科",十二指肠内瘘是指在十二指肠与腹腔内的其他空腔脏器之间形成的病理性通道，开口分别位于十二指肠及相应空腔脏器。十二指肠仅与单一脏器相沟通称“单纯性十二指肠内瘘”，与2个或以上的脏器相沟通则称为“复杂性十二指肠内瘘”。前者临床多见，后者较少发生。内瘘时，十二指肠及相应空腔脏器的内容物可通过该异常通道相互交通，由此引起感染、出血、体液丧失(腹泻、呕吐)、水电解质紊乱、器官功能受损以及营养不良等一系列改变。,暂无数据,暂无数据
5138,全身,砷化氢引起的溶血性贫血,"内科,急诊科",砷化氢为无色气体，是极强的溶血毒物。,暂无数据,暂无数据
5139,腰部,肾盂肿瘤,内科,肾盂肿瘤是由肾盂黏膜发生的上皮性肿瘤。发病年龄与肾癌相同，男性多于女性，两肾患病率相同，双肾发病者极为罕见。,暂无数据,暂无数据
5140,全身,松毛虫性骨关节炎,"内科,外科,骨外科,中医科",松毛虫性骨关节炎为近几年来在我国南方各省陆续发现的一种具有季节性的地区性暴发流行性疾患，是以侵犯皮肤、骨和关节为主的疾病。经流行病学调查及动物实验研究证明，本病与接触松毛虫有关，故定名为松毛虫病。从发病情况上看，在我国的广东、福建、广西、湖南、湖北、安徽、浙江、江西、江苏等九个省均有报道。1970年，浙江金华某窑厂员工因用带有松毛虫的松树枝烧窑而发病，为我国最早报道的个案病例。1975年，广东潮阳曾发病4010例，占总人口数的5.54%。接触松毛虫人口的发病率为52.9%～86.4%。发病时间以夏秋为流行高峰期，10月份最多。患者年龄从8个月至84岁均有，其中以20～50岁的青壮年患者最为多见。男女的发病率无差异，主要视接触的人群组成情况而异。发病地区多为近山区，主要是有松树林及松毛虫的地区。多数病例是在上山割柴草、打松枝、采集松毛虫茧、在污染的稻田内割稻时，以及学生在上山郊游时接触松毛虫，也可能是由于接触到受松毛虫污染的野草、衣物及水等而发病。,暂无数据,暂无数据
5141,腹部,十二指肠旁疝(肠系膜疝，腹膜后疝，先天性结肠系膜疝),外科,在胚胎发育过程中，部分肠管和(或)肠襻被包绕在十二指肠旁的腹膜后隐窝内，称为十二指肠旁疝(paraduodenalhernias)，亦称肠系膜疝(mesentericherniacongenitalherniaofmesocolon)、先天性结肠系膜疝(congenitalherniaofmesocolon)和腹膜后疝(retroperitonealhernia)。因由胚胎期中肠旋转异常所致，是为先天性腹内疝，左侧尤为多见。,暂无数据,暂无数据
5142,全身,髓过氧化物酶缺乏症(髓过氧化物酶缺陷),内科,髓过氧化物酶缺乏症(myeloperoxidasedeficiency，MPO)是一种遗传性吞噬细胞内髓过氧化物酶缺陷的免疫缺陷病，该病罕见。,暂无数据,暂无数据
5143,全身,输血后血小板减少性紫癜(输血后紫癜),内科,输血后血小板减少性紫癜(post-transfusionthrombocytopenicpurpura，PTTP)，又称“输血后紫癜”，输血后7～10天发生的急性、免疫性的、暂时性的血小板减少和出血症状。,暂无数据,暂无数据
5144,头部,髓母细胞瘤(成神经管细胞瘤),外科,"髓母细胞瘤(medulloblastoma)由Bailey与Cushing于1925年首先报道，是好发于儿童的颅内恶性肿瘤,是中枢神经系统恶性程度最高的神经上皮性肿瘤之一。",暂无数据,暂无数据
5145,胸部,食管壁内憩室(食管壁内假性憩室),外科,食管壁内憩室(esophagealintramuraldiverticulum)系少见良性病变。临床以食管壁多发的呈弥散性分布的、1～3mm的外突性小囊为特征。首次于1960年由Mendel描述，之后文献续有报道，多见于50～60的男性，亦可累及儿童及青年。,暂无数据,暂无数据
5146,全身,嗜酸粒细胞增多症(嗜酸粒细胞多),内科,嗜酸粒细胞增多症(eosinophilia)是指外周血中嗜酸粒细胞绝对值大于(0.4～0.45)×109/L(400～450/mm3)。临床上常与多种疾病相关，特别是寄生虫感染、过敏性疾病、结缔组织病和肿瘤的非特异性反应等。,暂无数据,暂无数据
5147,胸部,食管内异物(食管异物),外科,食管内异物(foreignbodyinoesophagus)是常见急症之一，可发生在任何年龄，以老人居多，幼儿次之。因大块异物可暂时停留在咽下部或食管入口部位狭窄处，可堵塞气道引起严重并发症，甚至危及生命，故必须及时处理。,暂无数据,暂无数据
5148,"头部,眼",视网膜下纤维化和葡萄膜炎综合征(视网膜下纤维化和葡萄膜炎综合症，视网膜下纤维化和色素膜炎综合征),"五官科,眼科",视网膜下纤维化和葡萄膜炎综合征(subretinal;fibrosis;and;uveitis;syndrome)是一种相对少见的临床类型，其特征是出现慢性葡萄膜炎和进展为视网膜下纤维化病变。,暂无数据,暂无数据
5149,全身,嗜碱性粒细胞增多症(嗜碱性粒细胞增多),内科,正常成人外周血的嗜碱性粒细胞占白细胞分类计数的0%～1%，绝对值为(0.02～0.05)×109/L。如分类计数>2%(至少计数200个白细胞)或绝对值>0.15×109/L(以白细胞计数及分类计算)或>0.1×109/L(直接计数法计算)，称为嗜碱性粒细胞增多症(basophilia)。,暂无数据,暂无数据
5150,头部,矢状窦旁脑膜瘤(傍矢状面脑膜瘤),外科,矢状窦旁脑膜瘤是指肿瘤基底附着在上矢状窦并充满矢状窦角的脑膜瘤，在肿瘤与上矢状窦之间没有脑组织。,暂无数据,暂无数据
5151,腹部,十二指肠先天性狭窄,外科,十二指肠先天性狭窄(congenitalstenosisofduodenum)，与十二指肠闭锁相似，只是胚胎时期发育不正常的程度较轻，仅停留在狭窄阶段，故预后较好。发病率也较低。,暂无数据,暂无数据
5152,胸部,食管中段憩室,外科,食管中段憩室(diverticulumoftheesophagealmidtpiece)主要是牵引型憩室，偶有先天性憩室和因食管某处先有狭窄而导致的膨出型憩室(图1)。,暂无数据,暂无数据
5153,胸部,食管受压性吞咽困难,外科,食管受压性吞咽困难(dysphagiacausebyesophagealcompression)是因主动脉弓衍化血管的异常而至食管、气管受压，临床出现以吞咽困难和(或)吸气性呼吸困难为主要症状的疾病。,暂无数据,暂无数据
